date,sp500,birkin,balenciaga,paddington,cpi
2005-01-01,1181.27001953125,6200.0,1100.0,1500.0,195.3
2005-02-01,1203.5999755859375,6200.0,1100.0,1500.0,195.3
2005-03-01,1180.5899658203125,6200.0,1100.0,1500.0,195.3
2005-04-01,1156.8499755859375,6200.0,1100.0,1500.0,195.3
2005-05-01,1191.5,6200.0,1100.0,1500.0,195.3
2005-06-01,1191.3299560546875,6200.0,1100.0,1500.0,195.3
2005-07-01,1234.1800537109375,6224.657534246576,1112.3287671232877,1487.6712328767123,195.8178082191781
2005-08-01,1220.3299560546875,6250.13698630137,1125.0684931506848,1474.9315068493152,196.35287671232877
2005-09-01,1228.81005859375,6275.6164383561645,1137.8082191780823,1462.1917808219177,196.88794520547947
2005-10-01,1207.010009765625,6300.273972602739,1150.13698630137,1449.86301369863,197.40575342465755
2005-11-01,1249.47998046875,6325.753424657534,1162.876712328767,1437.123287671233,197.94082191780822
2005-12-01,1248.2900390625,6350.41095890411,1175.2054794520548,1424.7945205479452,198.4586301369863
2006-01-01,1280.0799560546875,6375.890410958904,1187.945205479452,1412.054794520548,198.99369863013698
2006-02-01,1280.6600341796875,6401.369863013699,1200.6849315068494,1399.3150684931506,199.52876712328768
2006-03-01,1294.8699951171875,6424.3835616438355,1212.1917808219177,1387.8082191780823,200.01205479452054
2006-04-01,1310.6099853515625,6449.86301369863,1224.9315068493152,1375.0684931506848,200.54712328767124
2006-05-01,1270.0899658203125,6474.520547945205,1237.2602739726028,1362.7397260273972,201.06493150684932
2006-06-01,1270.199951171875,6500.0,1250.0,1350.0,201.6
2006-07-01,1276.6600341796875,6557.534246575343,1254.109589041096,1329.4520547945206,202.06849315068493
2006-08-01,1303.8199462890625,6616.986301369863,1258.3561643835617,1308.2191780821918,202.552602739726
2006-09-01,1335.8499755859375,6676.438356164384,1262.6027397260275,1286.986301369863,203.03671232876712
2006-10-01,1377.93994140625,6733.972602739726,1266.7123287671234,1266.4383561643835,203.50520547945206
2006-11-01,1400.6300048828125,6793.424657534247,1270.958904109589,1245.2054794520548,203.98931506849314
2006-12-01,1418.300048828125,6850.958904109589,1275.0684931506848,1224.6575342465753,204.45780821917808
2007-01-01,1438.239990234375,6910.41095890411,1279.3150684931506,1203.4246575342465,204.9419178082192
2007-02-01,1406.8199462890625,6969.86301369863,1283.5616438356165,1182.1917808219177,205.42602739726027
2007-03-01,1420.8599853515625,7023.561643835616,1287.3972602739725,1163.013698630137,205.86328767123288
2007-04-01,1482.3699951171875,7083.013698630137,1291.6438356164383,1141.7808219178082,206.347397260274
2007-05-01,1530.6199951171875,7140.54794520548,1295.7534246575342,1121.2328767123288,206.8158904109589
2007-06-01,1503.3499755859375,7200.0,1300.0,1100.0,207.3
2007-07-01,1455.27001953125,7249.180327868852,1287.704918032787,1075.4098360655737,207.95573770491805
2007-08-01,1473.989990234375,7300.0,1275.0,1050.0,208.63333333333335
2007-09-01,1526.75,7350.819672131148,1262.295081967213,1024.5901639344263,209.31092896174866
2007-10-01,1549.3800048828125,7400.0,1250.0,1000.0,209.96666666666667
2007-11-01,1481.1400146484375,7450.819672131148,1237.295081967213,974.5901639344263,210.64426229508197
2007-12-01,1468.3599853515625,7500.0,1225.0,950.0,211.3
2008-01-01,1378.550048828125,7550.819672131148,1212.295081967213,924.5901639344263,211.97759562841532
2008-02-01,1330.6300048828125,7601.639344262295,1199.5901639344263,899.1803278688525,212.65519125683062
2008-03-01,1322.699951171875,7649.180327868852,1187.704918032787,875.4098360655738,213.28907103825136
2008-04-01,1385.5899658203125,7700.0,1175.0,850.0,213.96666666666667
2008-05-01,1400.3800048828125,7749.180327868852,1162.704918032787,825.4098360655738,214.6224043715847
2008-06-01,1280.0,7800.0,1150.0,800.0,215.3
2008-07-01,1267.3800048828125,7734.246575342466,1129.4520547945206,783.5616438356165,215.23424657534247
2008-08-01,1282.8299560546875,7666.301369863014,1108.2191780821918,766.5753424657535,215.16630136986302
2008-09-01,1166.3599853515625,7598.356164383562,1086.986301369863,749.5890410958904,215.09835616438357
2008-10-01,968.75,7532.602739726028,1066.4383561643835,733.1506849315068,215.03260273972603
2008-11-01,896.239990234375,7464.657534246575,1045.2054794520548,716.1643835616438,214.96465753424658
2008-12-01,903.25,7398.904109589041,1024.6575342465753,699.7260273972603,214.89890410958904
2009-01-01,825.8800048828125,7330.958904109589,1003.4246575342465,682.7397260273973,214.8309589041096
2009-02-01,735.0900268554688,7263.013698630137,982.1917808219177,665.7534246575342,214.76301369863015
2009-03-01,797.8699951171875,7201.643835616438,963.013698630137,650.4109589041095,214.70164383561644
2009-04-01,872.8099975585938,7133.698630136986,941.7808219178082,633.4246575342465,214.633698630137
2009-05-01,919.1400146484375,7067.945205479452,921.2328767123288,616.986301369863,214.56794520547945
2009-06-01,919.3200073242188,7000.0,900.0,600.0,214.5
2009-07-01,987.47998046875,7049.315068493151,904.1095890410959,591.7808219178082,214.7958904109589
2009-08-01,1020.6199951171875,7100.273972602739,908.3561643835617,583.2876712328767,215.10164383561644
2009-09-01,1057.0799560546875,7151.232876712329,912.6027397260274,574.7945205479452,215.40739726027397
2009-10-01,1036.18994140625,7200.54794520548,916.7123287671233,566.5753424657535,215.70328767123289
2009-11-01,1095.6300048828125,7251.506849315068,920.9589041095891,558.0821917808219,216.0090410958904
2009-12-01,1115.0999755859375,7300.821917808219,925.068493150685,549.8630136986301,216.3049315068493
2010-01-01,1073.8699951171875,7351.780821917808,929.3150684931506,541.3698630136986,216.61068493150685
2010-02-01,1104.489990234375,7402.739726027397,933.5616438356165,532.8767123287671,216.91643835616438
2010-03-01,1169.4300537109375,7448.767123287671,937.3972602739726,525.2054794520548,217.19260273972603
2010-04-01,1186.68994140625,7499.726027397261,941.6438356164383,516.7123287671233,217.49835616438355
2010-05-01,1089.4100341796875,7549.041095890411,945.7534246575342,508.4931506849315,217.79424657534247
2010-06-01,1030.7099609375,7600.0,950.0,500.0,218.1
2010-07-01,1101.5999755859375,7673.972602739726,958.2191780821918,493.4246575342466,218.65890410958903
2010-08-01,1049.3299560546875,7750.41095890411,966.7123287671233,486.63013698630135,219.23643835616437
2010-09-01,1141.199951171875,7826.8493150684935,975.2054794520548,479.83561643835617,219.8139726027397
2010-10-01,1183.260009765625,7900.821917808219,983.4246575342465,473.26027397260276,220.37287671232878
2010-11-01,1180.550048828125,7977.260273972603,991.9178082191781,466.4657534246575,220.95041095890411
2010-12-01,1257.6400146484375,8051.232876712329,1000.1369863013699,459.8904109589041,221.50931506849315
2011-01-01,1286.1199951171875,8127.671232876713,1008.6301369863014,453.0958904109589,222.0868493150685
2011-02-01,1327.219970703125,8204.109589041096,1017.1232876712329,446.3013698630137,222.66438356164383
2011-03-01,1325.8299560546875,8273.150684931506,1024.7945205479452,440.16438356164383,223.1860273972603
2011-04-01,1363.6099853515625,8349.589041095891,1033.2876712328766,433.36986301369865,223.76356164383563
